id,name,url,contact,description,geoextent,geocoverage_dirty,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,environmental_domain,environmental_field,category,social_uptake,policy_uptake,policy_uptake_explanation,policy_relevance,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
90,CITI-SENSE,https://co.citi-sense.eu/default.aspx,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"The CITI-SENSE Citizens' Observatories Central Web Portal is designed to enable citizens to access not only to real-time environmental information provided by a wealth of Sensor and sensor platforms (including portable sensors and static sensors, mobile apps and different types of air pollution perception surveys), but also to provide a forum for discussion, debate and sharing of your own personal observations.",Macro-regional,"Norway, Netherlands, Israel, Czech Republic, Australia, Germany, Spain, United Kingdom of Great Britain and Northern Ireland (the), Austria, Italy, Russia, Slovenia, South Korea, Belgium","Norway, Netherlands (the), Israel, Czechia, Australia, Germany, Spain, United Kingdom of Great Britain and Northern Ireland (the), Austria, Italy, Russian Federation (the), Slovenia, Korea (the Republic of), Belgium",Norwegian Institute for Air Research,Academic,2012,No,Unknown,Atmospheric,Air quality,DIY engineering,Very large,No,To disseminate interpreted information to two kinds of users: citizens (individuals and associations) and policy makers (e.g. local administrations).,Policy implementation or monitoring,0,0,1,1,0,0,0,2,1,0,2,0,2,0,0,2,1
91,Cities at Night,http://citiesatnight.org,citiesatnightiss@gmail.com,Cities at Night is a citizen science project whose objective is to create a map like the Google maps using the night photographs that astronauts make on board the International Space Station (ISS),Global,Spain,Spain,Astrophysics Institute of Andalusia (IAA),Academic,2014,Yes,Unknown,Atmospheric,Air quality,Crowd-sourcing,Very large,No,N/A,Early-warning,0,0,1,2,0,0,1,0,2,0,1,1,0,0,1,2,1
92,"Citizen Hydrology,",www.cithyd.com,info@wisebenefit.it,"To build a public-use database of river water levels involving citizens, researchers and institutions in the measuring phase, in the research and creation of a dialogue on issues regarding flood protection and river restoration.",National,Italy,Italy,CITHYD,Private sector,2016,Yes,Unknown,Terrestrial,Water,Crowd-sourcing,Considerable,No,N/A,Early-warning,0,0,0,2,0,1,0,0,2,0,2,0,2,2,2,2,0
93,KWP Water projects,https://www.kwrwater.nl/en/projecten/citizen-science-and-hardness/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"In these citizen science projects of KWR and the water company Brabant Water, customers will, for the first time, participate as ‘temporary water researchers’ in scientific studies on differents characteristics about water.",Sub-national,Netherlands,Netherlands (the),KWR Watercycle Research Institute,Academic,2017,No,Unknown,Freshwater,Water,Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,2,2,0,1,0,0,2,0,0,0,2,2,2,2,0
94,CLAiR-CITY,http://www.claircity.eu,http://www.claircity.eu/contact-us/,"ClairCity is an innovative citizen-led project involving thousands of people in cities across Europe, enabling us all to decide the best local options for a future with clean air and lower carbon emissions. ClairCity is funded by the European Union.",City,"Netherlands, United Kingdom of Great Britain and Northern Ireland (the), Slovenia, Poland, Portugal, Italy","Netherlands (the), United Kingdom of Great Britain and Northern Ireland (the), Slovenia, Poland, Portugal, Italy",Trinomics B.V.,Private sector,2016,Yes,Unknown,Atmospheric,Air quality,DIY engineering,Very large,Yes,"ClairCity will explore and evaluate current local, national and international policy and governance structures to better understand the immediate policy horizon and how that may impact on citizens and their city’s future.",Early-warning,0,0,1,1,0,0,0,0,2,0,1,2,1,0,0,2,1
95,Clean Sea Life LIFE15 GIE/IT/000999,http://ec.europa.eu/environment/life/project/Projects/index.cfm?fuseaction=search.dspPage&n_proj_id=5824,parco@asinara.org,"European project for the conservation and research of the marine litter,",Sub-national,Italy,Italy,Parco Nazionale dell'Asinara,Consortium,2016,Yes,Unknown,Marine,Waste,Occasional reporting,Very large,Yes,The overall aim of the Clean Sea LIFE project is to support the application of the Marine Strategy Framework Directive (MSFD) and EU biodiversity policy relating to marine litter.,Policy implementation or monitoring,0,0,2,2,0,1,0,0,2,2,2,0,0,1,0,2,0
96,Clicnat,http://obs.picardie-nature.org/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Picardie Nature has developed ""Clicnat to improve knowledge about nature and share it, in an aim to improve nature conservation. It developed  a free software that allows all inhabitants of the Picardie region to enter and manage their own wildlife obersvations (mammals, molluscs, birds, butterflies) online and to consult this information and species distribution maps. ",Regional,France,France,Picardie Nature,Non-governmental,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,Yes,"The data produced has been used by Picardie Nature for spatial planning (e.g. to draw wind energy plans, identify hotspots of wildlife/road conflicts)",Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0
97,Climateprediction.net,http://www.climateprediction.net,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Climateprediction.net is a volunteer computing, climate modelling project based at the University of Oxford in the Environmental Change Institute, the Oxford e-Research Centre and Atmospheric, Oceanic and Planetary Physics.",Global,World,World,University of Oxford,Academic,2004,Yes,Unknown,Atmospheric,Air quality,Volunteer computing,Very large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,2,0,2,0,0,2,0
98,Co-Click'Eau,http://coclickeau.webistem.com/bac/,coclickeau@grignon.inra.fr,"The aim is to promote a change towards sustainable agricultural practices in catchment areas (Aires d'Alimentation de Captage, AAC) by providing an agronomic and economic basis for a shared negotiation between agricultural and environmental aims. ",National,France,France,Institut national de la recherche agronomique (INRA),Academic,2011,Yes,Unknown,Freshwater,Sustainable consumption and production,Crowd-sourcing,Very large,Yes,"Resulting from action 21 of the Ecophyto 2018 plan, the approach was designed by INRA Grignon and is led by the Ministry of Ecology, Sustainable Development and Energy. It was designed to elicit the design of locally relevant catchment action plans, in response to the french regulation to implement actions to reduce pollution in water catchment areas. ",Policy evaluation,0,1,0,2,0,1,2,0,2,0,0,1,0,0,2,2,0
99,COBWEB,https://cobwebproject.eu,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,COBWEB was a research project that succeeded in its goal of developing a generic crowdsourcing infrastructure platform and toolkit that could be used in multiple scenarios generating data of sufficient quality to be used by policymakers.,Macro-regional,"Ireland, United Kingdom of Great Britain and Northern Ireland (the), Netherlands, Greece, Germany","Ireland, United Kingdom of Great Britain and Northern Ireland (the), Netherlands (the), Greece, Germany", University of Edinburgh,Academic,2012,No,Unknown,Atmospheric,Efficient use of resources,Crowd-sourcing,Very large,Yes,"Currently COBWEB is focused upon the UNESCO World Network of Biosphere Reserves, and is working in 4 of these areas to collect valuable information.                                                                                                                                                                                                           Several policy briefs have been created as part of the COBWEB project",Policy implementation or monitoring,0,2,2,1,0,2,0,0,2,0,0,0,1,2,1,2,0
101,Collecte d'observations de mammifčres marins,http://www.ommag.info,contact.ommag@gmail.com,"OMMAG is a network made up of different people who are likely to observe cetaceans around Guadeloupe island's. Observations can be reported online, by email, or by phone. The observatory is then in charge of collecting, categorizing, analyzing.",Regional,France,France,Observatoire des mammifčres marins de l'archipel guadeloupéen,Non-governmental,2009,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0
102,Community Air Quality (Mapping for Change),http://mappingforchange.org.uk/projects/citizen-science-used-to-map-community-air-quality/,info@mappingforchange.org.uk,Building on best global practice to establish open source material that can be used around the world to set up national or regional CS projects to monitor the occurrence of disease carrying mosquitoes,National,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the),Mapping for Change,Consortium,2009,No,Unknown,Atmospheric,Air quality,Monitoring,Very large,Yes,"In Putney, these results motivated TfL’s decision to use hybrid buses on the high street.",Policy implementation or monitoring,0,0,2,1,1,0,0,2,2,1,2,2,1,0,2,1,0
103,COMPLEX,http://owsgip.itc.utwente.nl/projects/complex/,complex@ncl.ac.uk,"to explore new energy technologies, new ways of using landscapes and new policy instruments to support the transition towards a low carbon society by 2050.",Macro-regional,"United Kingdom, Netherlands, Sweden, Italy, France, Norway, Luxembourg, Spain, Russia, Germany ","United Kingdom of Great Britain and Northern Ireland (the), Netherlands (the), Sweden, Italy, France, Norway, Luxembourg, Spain, Russian Federation (the), Germany ",Newcastle University,Academic,2013,Yes,Unknown,Atmospheric,Climate,Monitoring,Very large,Yes,"At the end of the project, experts have prepared a scientific report evaluating the possible political decisions to be taken by European governments. The preparation of this report was one of the main objectives of the project and is available to the entire EU.",Policy implementation or monitoring,0,1,2,2,0,1,1,2,2,0,1,0,1,1,1,2,1
104,Danske Dyr / CONDIDACT,https://danske-dyr.dk/,info@gbif.org,"Occurrence dataset created by a citizen science project, conducted in September, 2006, 2012, 2015 in Denmark.The project invited the public to search for specific species in their local area. Species descriptions, instructions etc. were made available on a project website.Observations could be submitted through an online form. Observations were documented by digital photos, and later were validated by scientific experts.",National,Denmark,Denmark,ConDidact,Private sector,2007,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,2,1,2,0
106,Conker Tree Science,http://www.conkertreescience.org.uk,conkertreescience@ceh.ac.uk,"Conker Tree Science is a citizen science project, in which anyone could get invovled in real science by participating in three 'missions' to find out about the horse-chestnut leaf-mining moth (Cameraria ohridella).",National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Newcastle University + CEH,Consortium,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Problem definition,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,0
107,COST Action Citizen Sensor,http://www.citizensensor-cost.eu,http://www.citizensensor-cost.eu/the-action/contact/,"European Co-operation in Science and Technology (COST) Action, which explored issues linked to topics ranging from citizen motivation, data acquisition, data quality and the use of citizen derived data in the production of maps that rival, and sometimes surpass, maps arising from authoritative agencies.",Macro-regional,"United Kingdom, Austria, Belgium, Bulgaria, Czech Republic, Chypre, Germany, Denmark, Estonia, Spain, Finland, France, Greece, Italy, Ireland, Israel, Malta, Norway, Netherlands, Portugal, Romania, Russia, Slovenia","United Kingdom of Great Britain and Northern Ireland (the), Austria, Belgium, Bulgaria, Czechia, Cyprus, Germany, Denmark, Estonia, Spain, Finland, France, Greece, Italy, Ireland, Israel, Malta, Norway, Netherlands (the), Portugal, Romania, Russian Federation (the), Slovenia",University of Nottingham,Academic,2012,No,Unknown,Terrestrial,Land,DIY engineering,Very large,No,N/A,Problem definition,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1
108,COST ENERGIC,http://vgibox.eu/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,European Network Exploring Research into Geospatial Information Crowdsourcing: software and methodologies for harnessing geographic information from the crowd,Macro-regional,"Italy, United Kingdom, Austria, Belgium, Bulgaria, Croatia, Denmark, Estonia, Finland, France, Macedonia, Germany, Greece, Hungary, Ireland, Malta, Netherlands, Portugal, Serbia, Slovenia, Spain, Sweden, Switzerland, Turkey","Italy, United Kingdom of Great Britain and Northern Ireland (the), Austria, Belgium, Bulgaria, Croatia, Denmark, Estonia, Finland, France, North Macedonia, Germany, Greece, Hungary, Ireland, Malta, Netherlands (the), Portugal, Serbia, Slovenia, Spain, Sweden, Switzerland, Turkey",UNIVERSITŔ DI SIENA,Academic,2015,No,Unknown,Terrestrial,Land,DIY engineering,Very large,No,N/A,Problem definition,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1
109,CPERC's 'Recording Wildlife Near You',http://www.cperc.org.uk/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,CPERC is the main source of natural history and protected species information for the whole of Cambridgeshire & Peterborough.,Sub-national,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),CPERC,Academic,2004,Yes,Unknown,Cross-cutting,"Biodiversity, nature and landscapes",Monitoring,Large,Yes,This data forms an evidence base upon which decision makers should refer to when making decisions which may impact on wildlife or wildlife habitat.,Problem definition,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
111,Crowd4Roads,http://www.c4rs.eu,info@c4rs.eu,CROWD sensing and ride sharing FOR ROAD Sustainability,Macro-regional,"Italy, France, United Kingdom, Romania","Italy, France, United Kingdom of Great Britain and Northern Ireland (the), Romania",University of Urbino (UNIURB),Academic,2016,Yes,Unknown,Terrestrial,Sustainable consumption and production,Crowd-sourcing,Very large,Yes,One of the aims of the project is to provide to policy makers and public administrators up to date open data on the roughness of the road surface,Problem definition,0,0,0,2,0,0,2,0,1,0,1,2,1,0,0,2,0
112,CSMON-LIFE,http://www.csmon-life.eu/,coordinatore@csmon-life.eu,Monitoring biodiversity by a Citizen Science approach for solving environmental problems,National,Italy,Italy,Universitŕ degli Studi di Trieste,Academic,2014,No,Unknown,Cross-cutting,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,2,1,0,0,0,0,2,0,0,0,2,1,1,2,0
113,CurieuzeNeuzen,http://www.curieuzeneuzen.eu/en/,info@curieuzeneuzen.org,"CurieuzeNeuzen is a citizen science project in which 2000 citizens
of Antwerp measure the air quality outside their window.",City,Belgium,Belgium,Ringland Academic,Academic,2015,No,2016,Atmospheric,Air quality,Monitoring,Very large,No,N/A,Problem definition,0,0,1,1,0,0,0,0,2,0,2,0,2,0,0,2,0
114,Cyber Tracker,http://www.cybertracker.org/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"From its origins with indigenous Kalahari trackers, CyberTracker projects have been initiated to protect rhinos in Africa, to monitor gorillas in the Congo, snow leopards in the Himalayas, butterflies in Switzerland, jaguars in Costa Rica, birds in the Amazon, wild horses in Mongolia, dolphins in California, marine turtles in the Pacific and whales in Antarctica.",Global,World,World, CyberTracker Conservation,Non-governmental,1997,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,"The NatureMapping Program and BioKIDS have been using CyberTracker in elementary, primary and secondary schools in the USA for science and environmental education. Data collection is a core component of the science curriculum.",Policy implementation or monitoring,1,1,1,2,0,1,0,2,2,1,0,1,2,0,1,1,1
115,Dabas Dati,https://dabasdati.lv/lv,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,Database on the biodiversity of Latvia,National,Latvia,Latvia,"Latvijas Dabas fonds, Latvijas Ornitolo?ijas biedr?ba",Non-governmental,2008,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
116,Dark sky meter / Waarnemen,http://www.darkskymeter.com/;  http://www.waarnemen.com/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,The app (iPhone only) uses the camera to collect light at night. The aim is to provide a cheap alternative to expensive light meters. When you submit your measurements the data is used for scientific research.,Global,USA,United States of America (the),Norbert Schmidt and Harro Treur,Non-governmental,2017,Yes,Unknown,Atmospheric,Air quality,Monitoring,Very large,No,N/A,Problem definition,0,0,2,2,0,0,2,0,2,0,2,2,2,0,2,2,0
117,Darwin for a day,http://www.darwinforaday.org,http://www.darwinfoundation.org/en/contact-us/,"Darwin for a Day is a web application that allows you to explore the Galapagos Islands through Google Street View and document its unique plants and animals. When you see an animal or plant you’d like to catalogue, you can describe it by creating an observation.",National,Ecuador,Ecuador,Fundación Charles Darwin,Non-governmental,2015,Yes,Unknown,Cross-cutting,"Biodiversity, nature and landscapes",Crowd-sourcing,Large,No,N/A,Policy implementation or monitoring,0,0,1,1,0,0,0,0,2,0,0,0,2,2,2,2,0
118,UK Non-native Species Information Portal (or RISC project - Recording Invasive Species Counts),http://www.nonnativespecies.org/maps/index.cfm,nnss@apha.gsi.gov.uk,Database of non-native species projects in GB,Regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),NBN,Non-governmental,2008,Yes,Unknown,Cross-cutting,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,This is an official Government's database..,Problem definition,0,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0
119,De Landpissebedden (isopoda) van Nederland,http://www.pissebeddenproject.nl/determinatie.html,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Many regions in the Netherlands have not yet been (well) researched for the occurrence of woodlice beds. This mainly concerns the provinces of Friesland, Groningen, Drenthe, Overijssel and Noord-Brabant. There are many 5x5 km lofts without sightings of woodlice or in which less than 7 species are found.
We want to release this unknown 'white areas' from this status in this pisseatlable project and to chart changes in the spread of woodlice since 2006.",National,Netherlands,Netherlands (the),EIS Knowledge center Insects and other invertebrates,Non-governmental,2008,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
120,De Natuurkalender,natuurkalender.nl,natuurkalender@wur.nl,"Mapping the phenology of plants, birds and insects to prevent hay fever and to map climate change - quite relevant, reducing costs for pharmacies - the climate change part we don't know since governments tend not to act upon it",National,Netherlands,Netherlands (the),Nature Today,Consortium,1868,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,2,1,0,0,0,0,2,0,0,0,2,0,1,2,0
121,Decarbonet,https://www.decarbonet.eu,https://www.decarbonet.eu/contact/,A project to investigate the potential of social platforms in mitigating climate change.,Macro-regional,"United Kingdom, Austria, Switzerland, Netherlands","United Kingdom of Great Britain and Northern Ireland (the), Austria, Switzerland, Netherlands (the)",the Open University,Academic,2013,No,2016,Cross-cutting,Sustainable consumption and production,Monitoring,Very large,Yes,"Social Innovation can be achieved by empowering citizens, encouraging actions, and providing knowledge to policy makers and stakeholders.",Problem definition,0,2,1,2,0,0,0,0,2,0,2,2,1,0,0,2,0
122,Degree confluence project,http://www.confluence.org,http://www.confluence.org/contact.php,"The goal of the project is to visit each of the latitude and longitude integer degree intersections in the world, and to take pictures at each location. The pictures, and stories about the visits, will then be posted here.",Global,World,World,Alex Jarret,Non-governmental,1996,Yes,Unknown,Cross-cutting,Land,Crowd-sourcing,Very large,No,N/A,Policy implementation or monitoring,0,0,2,1,0,0,1,0,2,0,2,2,0,0,0,2,0
123,Did you feel it?,http://earthquake.usgs.gov/earthquakes/dyfi/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,Did You Feel It? (DYFI) collects information from people who felt an earthquake and creates maps that show what people experienced and the extent of damage.,Global,USA,United States of America (the),USGS,Governmental,2001,Yes,Unknown,Terrestrial,Land,Crowd-sourcing,Large,Yes,"The USGS Earthquake Hazards Program is part of the National Earthquake Hazards Reduction Program (NEHRP), established by Congress in 1977.",Early-warning,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,2,2
124,Dipterists Forum,http://www.dipteristsforum.org.uk/,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Mapping the distribution of some groups is a major achievement of the Dipterists Forum to date, but the immature stages of the majority of species are still unknown. Many species are becoming increasingly rare as a result of habitat loss and climate change.",Regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Diptera,Non-governmental,1993,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
125,Distribution Maps for Cladocera in Britain and Ireland,http://www.boxvalley.co.uk/nature/cladocera/cindex.asp,admin@cladocera.org.uk,"The Cladocera Interest Group is an informal alliance of naturalists with an interest in the orders of micro - crustacea which are often conveniently referred to as Cladocera or Water Fleas. We have a wide variety of members from amateur microscopists and naturalists to professional entomologists and researchers, with all categories in between. Membership is free and open to all.",Regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),The Cladocera Interest Group,Non-governmental,2016,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,2,0
126,Diveboard - Scuba diving citizen science observations,https://www.diveboard.com,https://www.diveboard.com/about,"Online scuba diving citizen science platform, where divers can digitize or log their dives, participate in citizen science surveys and projects, and interact with others",Global,World,World,Diveboard,Private sector,2011,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,0
127,DOFbasen,http://dofbasen.dk/,https://dofbasen.dk/kontakt/,Database of bird registrations administrated by Danish Ornithological Society. Danish Ornithological Society/BirdLife Denmark: working for the protection of birds and nature as well as the procurement of knowledge on birds.,National,Denmark,Denmark,Danish Ornithological Society,Non-governmental,2011,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
128,Dragonflywatch,http://www.british-dragonflies.org.uk/content/recording-dragonflies-and-damselflies-britain,conservation@british-dragonflies.org.uk,"Records to the work of the British Dragonfly Society. They provide much of the scientific basis for our knowledge, helping to find out where and when dragonflies occur",Macro-regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),British Dragonfly Society,Non-governmental,2008,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
129,DRY - monitoring grasslands and trees for drought,http://dryproject.co.uk/get-involved/,http://dryproject.co.uk/contact-us/,Working collaboratively with the general public and primary and secondary schools to improve our understanding of the impacts of drought on plant and tree ecology in the UK.,Regional,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),University of the West of England,Academic,2014,Yes,Unknown,Freshwater,Water,Monitoring,Large,No,N/A,Problem definition,0,2,2,2,0,0,0,0,2,0,2,0,2,0,1,2,0
130,De Vlinderstichting,https://www.gbif.org/publisher/21c07296-77a8-4adf-aba1-e1035429be3a,info@vlinderstichting.nl,"Dutch Butterfly Conservation works on many aspects of butterfly conservation, often related to nature restoration and nature development. Butterflies, moths and dragonflies are good indicators for the quality of our environment, whether it is natural, agricultural or urban in nature, and research on these species and monitoring their abundance and diversity, provides us with knowledge on population trends and developments related to climatological and environmental changes.",National,Netherlands,Netherlands (the),De Vlinderstichting,Non-governmental,1995,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,"Dutch Butterfly Conservation carries out research and gives advice to those responsible for deciding the use, development and management of land in all sorts of areas. We have research workers with broad experience and expertise in ecology, specialized in butterflies, moths and dragonflies, as well as nature conservation.",Policy implementation or monitoring,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
131,Earthdive,http://www.earthdive.com,info@earthdive.com,"earthdive is a revolutionary concept in citizen science and a global research project for millions of recreational scuba divers, snorkellers and others who can help preserve the health and diversity of our oceans.",Global,World,World,Diveboard,Private sector,2010,Yes,Unknown,Marine,Water,Monitoring,Large,Yes,This project aims to create a unique petition demanding action to protect the health and diversity of our oceans.,Early-warning,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0
132,Earthworm Society of Britain,http://www.earthwormsoc.org.uk/,ESBenquiries@gmail.com,It aims to encourage the conservation of earthworms and their habitats and to educate and inspire people so that these fascinating creatures may continue to be enjoyed in the future. You can help support us by becoming a member! We're also often out and about at bioblitz events,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Earthworm Society of Britain,Non-governmental,2009,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Considerable,No,N/A,Policy implementation or monitoring,0,2,0,1,0,0,0,0,2,0,0,0,2,0,1,2,0
133,Support Eastern Europeans to Develop Bird Indicators (SEED),https://www.ebcc.info/index.php?ID=139,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,"Bird conservation NGOs from Belarus, Macedonia, Lithuania, Poland, Romania, Turkey and Bulgaria started a project for strengthening their capacity to run successful national Common Bird Monitoring Schemes (CBM). These monitoring schemes are citizen science initiatives, which use data collected by volunteers to analyse how the populations of common and widespread birds change in response to environmental conditions.",Macro-regional,"Belarus, Macedonia, Lithuania, Poland, Romania, Turkey, Bulgaria","Belarus, North Macedonia, Lithuania, Poland, Romania, Turkey, Bulgaria",EBCC,Non-governmental,2007,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,Yes,For example the EU uses the Farmland Bird Index which is produced using these data as a measure of the effective implementation of its commitments set by the Convention of Biological Diversity to halt biodiversity loss by 2010,Policy evaluation,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,1
134,EBCC Atlas of European Breeding Birds,http://www.ebcc.info/index.php?ID=545,This e-mail address has been removed for personal data protection. Please go to the project website for other means of contact.,European effort to create another bird atlas - seeking to fill in gaps in countries which are less well covered through citizen science in this case,Macro-regional,"Netherlands, Europe","Netherlands (the), Europe",EBCC,Non-governmental,2014,No,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,2,0,2,0,0,0,0,2,0,0,0,2,0,1,2,2
135,eBiodiversity,http://elurikkus.ut.ee/index.php?lang=eng,info@elurikkus.ut.ee,"The aim of eBiodiversity portal is to provide a comprehensive resource on Estonian biodiversity by bringing together scientific and citizen science datasets. The portal provides public access to a wide variety of taxon occurrence types including specimens in scientific collections, observations, sounds, images, videos, references in literature and DNA-based observations. Registered account holders can add their own observations",National,Estonia,Estonia,University of Tartu,Academic,2015,Yes,Unknown,Cross-cutting,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,2,0,2,0,0,0,0,2,0,0,0,2,0,1,2,0
136,ebird,http://ebird.org/content/ebird,http://help.ebird.org/customer/portal/emails/new,"Our goal is to gather this information in the form of checklists of birds, archive it, and freely share it to power new data-driven approaches to science, conservation and education.",Global,World,World,National Audubon Society,Governmental,2002,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Crowd-sourcing,Very large,No,N/A,Policy implementation or monitoring,0,2,0,2,0,0,0,0,2,0,0,0,2,0,1,2,2
137,Ecologistas en acción,http://www.ecologistasenaccion.org,secretaria@ecologistasenaccion.org,"Ecologistas en Acción is a confederation of more than 300 environmental associations distributed throughout the Spanish territory. His work is recognized within the so-called social ecology, which understands that environmental problems have their origin in an increasingly globalized production and consumption model, from which other social problems also derive, and which must be transformed if the crisis is to be avoided. ecological",National,Spain,Spain,Ecologistas en Acción,Non-governmental,1998,Yes,Unknown,Cross-cutting,Cross-cutting,DIY engineering,Very large,Yes,"
Conventional economic policies simultaneously cause the progressive degradation of ecosystems and increasingly high levels of vital precariousness, and do not duly recognize the indispensable value of women for the maintenance of life. Only a change towards sustainability policies will create societies in which these shortcomings are solved.",Problem definition,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2
139,EEIKO Base de datos sobre plantas invasoras,http://www.eeiko.es/,eeiko@basoinsa.com,"Developed by Basoinsa and Geograma, the data of invasive plant records is obtained through the contribution made by the citizens and validated by a technical team.",National,Spain,Spain,Basoinsa y Geograma,Private sector,2015,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,Yes,"
There are several legislative frameworks and existing strategies to fight against the IAS in favor of the conservation of biodiversity, driven by the EU, the state government or the autonomous communities.",Policy evaluation,0,2,2,2,0,0,0,0,2,0,2,0,2,0,1,2,2
